title,url,date,rating,status,comment
衰仔斗邪神,https://movie.douban.com/subject/36455397/,2025-06-27,★,看过,
黑帮领地 第一季,https://movie.douban.com/subject/37252183/,2025-06-09,★★,看过,
碟中谍8：最终清算,https://movie.douban.com/subject/30433456/,2025-06-02,★★,看过,
最后生还者 第二季,https://movie.douban.com/subject/36221305/,2025-05-30,★★,看过,
直到黎明,https://movie.douban.com/subject/36737061/,2025-05-26,★★,看过,
寻秘不老泉,https://movie.douban.com/subject/36305453/,2025-05-24,★★,看过,
全美缉凶：本·拉登,https://movie.douban.com/subject/37219601/,2025-05-21,★★★,看过,
死神来了：血脉诅咒,https://movie.douban.com/subject/30429388/,2025-05-21,★★★,看过,
拾荒者统治,https://movie.douban.com/subject/35932858/,2025-05-17,★★★★★,看过,
爱，死亡和机器人 第四季,https://movie.douban.com/subject/36056894/,2025-05-16,★,看过,
安多 第二季,https://movie.douban.com/subject/35914829/,2025-05-15,★★★★,看过,
撒旦的奴隶2,https://movie.douban.com/subject/35753435/,2025-05-08,★★★,看过,
撒旦的奴隶,https://movie.douban.com/subject/27166047/,2025-05-08,★★★,看过,
死亡占卜2：恶灵始源,https://movie.douban.com/subject/26602794/,2025-05-07,★★★,看过,
战·争,https://movie.douban.com/subject/36776989/,2025-05-07,★★★★,看过,
死亡占卜,https://movie.douban.com/subject/3014399/,2025-05-07,★★★,看过,
人皮客栈3,https://movie.douban.com/subject/3147969/,2025-05-04,★★,看过,
人皮客栈2,https://movie.douban.com/subject/1793571/,2025-05-04,★★★,看过,
永航员 第一季,https://movie.douban.com/subject/36467839/,2025-05-01,★★★,看过,
毒劫,https://movie.douban.com/subject/35367384/,2025-04-29,★★,看过,
紧锁,https://movie.douban.com/subject/36237132/,2025-04-24,★★,看过,
救命解药,https://movie.douban.com/subject/26363201/,2025-04-23,★★★★,看过,
人生切割术 第二季,https://movie.douban.com/subject/35783948/,2025-04-14,★★★,看过,
编号17,https://movie.douban.com/subject/34429795/,2025-04-14,★★★,看过,
首尔之春,https://movie.douban.com/subject/35712804/,2025-04-13,★★★,看过,
向山海出发,https://movie.douban.com/subject/36471547/,2025-04-13,★★,看过,
黑镜 第七季,https://movie.douban.com/subject/36653963/,2025-04-12,★★★,看过,
侠探杰克 第三季,https://movie.douban.com/subject/36670568/,2025-03-29,★★★,看过,
沸点,https://movie.douban.com/subject/34981294/,2025-03-27,★★★,看过,
怪猴,https://movie.douban.com/subject/36402080/,2025-03-27,★★,看过,
独自赴死,https://movie.douban.com/subject/36236098/,2025-03-22,★★,看过,
过去的事,https://movie.douban.com/subject/36456911/,2025-03-19,★★,看过,
混沌少年时 第一季,https://movie.douban.com/subject/36820950/,2025-03-17,★★★,看过,
匹兹堡医护前线 第一季,https://movie.douban.com/subject/36831851/,2025-03-12,★★★,看过,
美国队长4,https://movie.douban.com/subject/35443158/,2025-03-11,★★,看过,
猫猫的奇幻漂流,https://movie.douban.com/subject/35603727/,2025-03-05,★★★,看过,
阿诺拉,https://movie.douban.com/subject/36195543/,2025-03-04,★★★,看过,
企鹅人 第一季,https://movie.douban.com/subject/35604181/,2025-02-28,★★★,看过,
怪形前传,https://movie.douban.com/subject/3097525/,2025-02-28,★★,看过,
神奇动物：邓布利多之谜,https://movie.douban.com/subject/26147418/,2025-02-19,★★★,看过,
战略特勤组,https://movie.douban.com/subject/2275370/,2025-02-16,★★★★,看过,
